,0
AT1G02110,-0.7379550597497121
AT1G06730,-0.1922040276632871
AT1G09160,-0.6266907519762578
AT1G11300,-0.11254527697765254
AT1G11860,-0.6395406048605502
AT1G14560,0.2640575929886961
AT1G14710,-0.4842568162384521
AT1G20470,-0.5941681402676153
AT1G21980,-0.7647022501811908
AT1G23030,0.2013861161656994
AT1G23310,-0.6949460658095529
AT1G28440,-0.39632689444523855
AT1G29910,-0.6632759140813761
AT1G30540,-0.46370276927115905
AT1G32450,-0.45520523860341705
AT1G32520,-0.5646478017440899
AT1G42540,-0.03892908356656568
AT1G42970,-0.6874162239572896
AT1G47580,-0.504826846287999
AT1G48280,-0.3646204012103744
AT1G50460,-0.6493961167270766
AT1G51440,-0.8203902806825001
AT1G51580,-0.1225686863148562
AT1G52240,-0.6185300668226476
AT1G53500,-0.30788735742080114
AT1G57590,-0.5474807670713702
AT1G58265,-0.21443797261684266
AT1G58290,-0.6880595237943767
AT1G62030,-0.8868720033379313
AT1G62035,-0.7537250252098103
AT1G65320,-0.04424514335569762
AT1G66100,-0.8314506881447844
AT1G66250,-0.5044161345437712
AT1G67635,0.15564436790576042
AT1G68110,-0.3798417939890984
AT1G68470,-0.6767580357140474
AT1G69360,0.5730724742070203
AT1G70790,-0.13865108478020266
AT1G70830,-0.46557737654868603
AT1G76620,-0.7242110269408298
AT1G78570,-0.7109413613272861
AT2G04570,-0.6942389199469138
AT2G05060,-0.31922964494579914
AT2G05995,-0.5867609040717783
AT2G10940,-0.6107126733183896
AT2G13360,-0.6863912713296878
AT2G14560,-0.5606235222976478
AT2G20250,0.04905504147990738
AT2G26080,-0.7894003640559233
AT2G27050,-0.6850219134252464
AT2G27510,-0.3747507446803776
AT2G28630,-0.8264732191261733
AT2G30505,0.12650870282520973
AT2G33060,-0.9061972724272654
AT2G34430,-0.6920433111370913
AT2G35880,0.02230654723798129
AT2G36750,-0.7485524990052796
AT2G37710,0.19594361240107042
AT2G39770,-0.11748757047598128
AT2G46520,-0.1005979971931535
AT2G47230,-0.16512137638819513
AT3G01510,-0.3979088686147116
AT3G06860,0.12373377252553966
AT3G07720,0.2153300002804785
AT3G14420,-0.6722272895278004
AT3G14550,-0.21416505315696047
AT3G15570,-0.6743725260041453
AT3G20080,0.33992587150540454
AT3G21670,-0.6509805503020145
AT3G21870,-0.3295472993509318
AT3G23450,-0.8583787695464025
AT3G26650,-0.7923492421853688
AT3G28220,-0.6575631451839512
AT3G45140,-0.5530327682400882
AT3G47610,-0.1663460935701462
AT3G50570,-0.56800736178087
AT3G51140,0.06002278366144521
AT3G51970,-0.15743466450486984
AT3G54890,-0.7985548692418163
AT3G55360,-0.6382186786932189
AT3G55800,-0.8808318753105793
AT3G56260,-0.7818871283417993
AT3G56940,-0.6499693456985397
AT3G59530,-0.27959647449652586
AT3G61470,-0.7623232410137221
AT4G01130,-0.46991222920784326
AT4G01700,0.26540446932956674
AT4G04020,-0.5574631499470688
AT4G05040,0.1135821970585032
AT4G08230,-0.49267945074367026
AT4G10695,0.014916998041323083
AT4G12810,-0.17548719347222266
AT4G12830,-0.6593885595940502
AT4G14090,0.08499110071363439
AT4G15760,-0.5466419455188841
AT4G16480,0.023797182931496064
AT4G17090,-0.5221116584065089
AT4G18970,-0.821390877590233
AT4G21550,-0.013810384886399085
AT4G25980,-0.4055448146851051
AT4G27030,-0.6029109094196718
AT4G28650,0.5111733059638573
AT4G30400,-0.9049458812545333
AT4G34140,-0.3912615016114029
AT5G05590,0.3611477711477207
AT5G09660,-0.649562242370367
AT5G13310,-0.4120366938584202
AT5G13770,-0.18296639138176163
AT5G14050,-0.04832777191486396
AT5G14120,0.06540981412453595
AT5G15780,-0.298244034831575
AT5G18070,-0.4767161508472571
AT5G20050,-0.7155833482093806
AT5G24210,-0.4406237529648163
AT5G25140,-0.6239145464050346
AT5G27120,-0.7525626290055524
AT5G27950,0.0013397398456161452
AT5G34940,0.061696379347420435
AT5G45490,0.15707199471832747
AT5G47580,0.017035268553069513
AT5G50860,-0.6346010857790378
AT5G51460,-0.6576183139033377
AT5G51740,-0.2357317978364013
AT5G51750,-0.3409107635090868
AT5G53970,-0.7260026862576394
AT5G54050,-0.2547808147829169
AT5G54800,0.19352571721645964
AT5G55450,-0.3908016208928995
AT5G56000,-0.13620644042672655
AT5G56490,-0.4734570270683161
AT5G57710,-0.5735578893585697
AT5G58520,-0.32977804806345973
AT5G58570,0.4238270968601499
AT5G60210,-0.790335723030487
AT5G61070,-0.6368851885292914
AT5G62030,-0.10003306114532792
AT5G65010,-0.7096218036797053
AT5G67385,-0.4084224790291778
